V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
58362 2014 5 13 10075 10120 10031 220 270 171 131 51 26 32700 32766 53 30 72 9 112 8 36 
58362 2014 5 14 10008 10040 9990 224 278 190 208 79 47 128 32766 31 24 50 15 96 14 31 
58362 2014 5 15 10059 10080 10019 217 260 190 154 60 30 32700 32766 41 26 48 3 85 2 96 
58362 2014 5 16 10093 10104 10080 222 280 156 124 48 20 0 32766 51 24 48 4 72 7 103 
58362 2014 5 17 10098 10110 10084 190 228 171 187 85 50 11 32766 19 26 50 7 84 7 0 
58362 2014 5 18 10111 10123 10098 182 198 167 170 82 68 8 32766 16 29 43 4 72 4 0 
58362 2014 5 19 10097 10125 10073 191 204 177 200 91 70 4 32766 11 17 33 4 56 5 0 
58362 2014 5 20 10069 10082 10055 212 263 188 199 81 49 176 32766 30 27 53 15 98 15 58 
58362 2014 5 21 10087 10102 10075 231 290 168 195 71 47 0 32766 28 16 41 4 66 4 73 
58362 2014 5 22 10101 10126 10075 236 283 205 175 61 35 0 32766 56 29 84 9 133 9 87 
58362 2014 5 23 10151 10163 10125 228 276 192 192 70 45 0 32766 56 32 62 7 108 7 119 
58362 2014 5 24 10125 10171 10092 227 255 195 216 78 67 0 32766 30 43 73 9 112 8 27 
58362 2014 5 25 10074 10104 10058 243 281 229 265 87 74 19 32766 14 22 41 8 78 8 0 
58362 2014 5 26 10083 10100 10063 260 311 220 180 57 24 0 32766 39 20 46 2 90 15 75 
58362 2014 5 27 10043 10083 10008 275 327 222 159 45 24 0 32766 62 23 60 12 93 11 88 
58362 2014 5 28 10053 10069 10022 276 328 236 154 43 24 0 32766 53 27 49 15 87 14 82 
58362 2014 5 29 10066 10078 10046 278 330 226 169 45 37 0 32766 51 18 40 9 65 9 49 
58362 2014 5 30 10082 10095 10062 290 340 235 159 41 25 0 32766 61 31 46 9 78 9 100 
58362 2014 5 31 10102 10114 10087 253 287 226 200 62 40 0 32766 58 39 61 9 105 9 72 
58362 2014 6 1 10044 10103 10003 225 238 217 236 87 70 291 32766 37 47 65 8 131 8 0 
58362 2014 6 2 10012 10030 9995 232 256 211 232 82 64 32700 32766 23 42 70 14 123 14 6 
58362 2014 6 3 10039 10047 10030 206 224 195 185 77 65 6 32766 34 30 57 14 103 15 0 
58362 2014 6 4 10040 10052 10029 217 240 189 192 75 61 0 32766 26 35 53 14 91 15 8 
58362 2014 6 5 10052 10064 10039 221 256 200 205 78 63 0 32766 23 23 38 2 68 2 38 
58362 2014 6 6 10049 10063 10033 227 266 186 216 79 61 0 32766 32 21 47 4 75 4 87 
58362 2014 6 7 10032 10050 10013 247 286 211 236 77 59 0 32766 40 23 40 4 62 4 78 
58362 2014 6 8 10052 10062 10031 238 265 221 236 80 69 0 32766 30 22 50 4 73 4 22 
58362 2014 6 9 10063 10079 10055 229 264 206 209 75 62 0 32766 42 34 58 4 90 4 36 
58362 2014 6 10 10064 10074 10056 228 263 211 220 80 64 0 32766 39 28 49 4 83 4 59 
58362 2014 6 11 10064 10077 10049 235 268 210 217 76 58 0 32766 39 25 39 4 68 3 50 
58362 2014 6 12 10059 10068 10047 237 275 202 198 69 48 0 32766 41 26 47 3 74 3 61 
